Price,Year,Power(HP),Mileage(KM),Description,Link,Fuel_type
4490000,2015,120,191425,VOLKSWAGEN PASSAT VIII Variant 1.6 TDI BMT Comfortline DSG Új vezérlés. Új lendkerék,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_viii/volkswagen_passat_viii_variant_1.6_tdi_bmt_comfortline_dsg_uj_vezerles_uj_lendkerek-18506453#sid=03f3d781-016b-4313-8ed3-5936d5c9a029,Dízel
4490000,2014,140,240712,VOLKSWAGEN PASSAT Variant 2.0 TDI Comfortline BMT,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat/volkswagen_passat_variant_2.0_tdi_comfortline_bmt-18483129#sid=03f3d781-016b-4313-8ed3-5936d5c9a029,Dízel
4490000,2012,177,274463,VOLKSWAGEN PASSAT ALLTRACK DSG/4Motion/XENON/BI-COLOR BŐR/HOLTTÉR F./VÉGIG VEZETETT SZ.KÖNYV,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_alltrack/volkswagen_passat_alltrack_dsg_4motion_xenon_bi-color_bor_holtter_f_vegig_vezetett_szkonyv-18422026#sid=03f3d781-016b-4313-8ed3-5936d5c9a029,Dízel
4499999,2013,140,169000,VOLKSWAGEN PASSAT VII Variant 2.0 CR TDI Comfortline BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_variant_2.0_cr_tdi_comfortline_bmt_dsg-18698792#sid=03f3d781-016b-4313-8ed3-5936d5c9a029,Dízel
4699000,2014,177,235000,VOLKSWAGEN PASSAT VII Variant 2.0 CR TDI Comfortline BMT DSG 177le. Bi Xenon parkradar Tempomat vonóhorog,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_variant_2.0_cr_tdi_comfortline_bmt_dsg_177le_bi_xenon_parkradar_tempomat_vonohorog-18517057#sid=03f3d781-016b-4313-8ed3-5936d5c9a029,Dízel
4699000,2015,150,260000,VOLKSWAGEN PASSAT VIII Variant 2.0 TDI Comfortline BMT DSG Szervizkönyv.Új kuplungszett,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_viii/volkswagen_passat_viii_variant_2.0_tdi_comfortline_bmt_dsg_szervizkonyvuj_kuplungszett-18254421#sid=03f3d781-016b-4313-8ed3-5936d5c9a029,Dízel
4885000,2013,177,239551,VOLKSWAGEN PASSAT CC 2.0 CR TDI BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_cc/volkswagen_passat_cc_2.0_cr_tdi_bmt_dsg-17964212#sid=03f3d781-016b-4313-8ed3-5936d5c9a029,Dízel
4899000,2015,150,346234,VOLKSWAGEN PASSAT Variant 2.0 TDI Comfortline BMT DSG LED 2/KITŰNŐ ÁLL,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat/volkswagen_passat_variant_2.0_tdi_comfortline_bmt_dsg_led_2_kituno_all-18700807#sid=03f3d781-016b-4313-8ed3-5936d5c9a029,Dízel
4899000,2015,150,294742,VOLKSWAGEN PASSAT Variant 2.0 TDI Comfortline BMT DSG magyarországi .sérülésmentes.szervizkönyves,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat/volkswagen_passat_variant_2.0_tdi_comfortline_bmt_dsg_magyarorszagi_serulesmentesszervizkonyves-18676625#sid=03f3d781-016b-4313-8ed3-5936d5c9a029,Dízel
4899000,2014,122,102000,VOLKSWAGEN PASSAT Variant 1.4 TSI Comfortline DSG NAVI!VEZETETT SZERVIZKÖNYV!102000 km!,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat/volkswagen_passat_variant_1.4_tsi_comfortline_dsg_navivezetett_szervizkonyv102000_km-18522421#sid=03f3d781-016b-4313-8ed3-5936d5c9a029,Benzin
4999000,2015,150,312000,VOLKSWAGEN PASSAT VIII Variant 2.0 TDI Comfortline BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_viii/volkswagen_passat_viii_variant_2.0_tdi_comfortline_bmt_dsg-18642147#sid=03f3d781-016b-4313-8ed3-5936d5c9a029,Dízel
4999000,2015,120,224900,VOLKSWAGEN PASSAT VIII 1.6 TDI Trendline BMT DSG Front Assist! Azonnal elvihető!,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_viii/volkswagen_passat_viii_1.6_tdi_trendline_bmt_dsg_front_assist_azonnal_elviheto-18199169#sid=03f3d781-016b-4313-8ed3-5936d5c9a029,Dízel
0,2017,120,213000,VOLKSWAGEN PASSAT VIII Variant 1.6 TDI Trendline BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_viii/volkswagen_passat_viii_variant_1.6_tdi_trendline_bmt_dsg-18513353#sid=03f3d781-016b-4313-8ed3-5936d5c9a029,Dízel
5090000,2015,150,254000,VOLKSWAGEN PASSAT VIII Variant 2.0 TDI Highline BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_viii/volkswagen_passat_viii_variant_2.0_tdi_highline_bmt_dsg-18626694#sid=03f3d781-016b-4313-8ed3-5936d5c9a029,Dízel
5090000,2018,120,194000,VOLKSWAGEN PASSAT VIII Variant 1.6 TDI BMT Comfortline DSG Facelift Navi 2 Év Műszaki Gari AADO 868 Azonnal Elvihető ARD,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_viii/volkswagen_passat_viii_variant_1.6_tdi_bmt_comfortline_dsg_facelift_navi_2_ev_muszaki_gari_aado_868_azonnal_elviheto_ard-18601030#sid=03f3d781-016b-4313-8ed3-5936d5c9a029,Dízel
5125000,2015,150,240000,VOLKSWAGEN PASSAT VIII Variant 2.0 TDI Comfortline SCR BMT 4Motion,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_viii/volkswagen_passat_viii_variant_2.0_tdi_comfortline_scr_bmt_4motion-18703377#sid=03f3d781-016b-4313-8ed3-5936d5c9a029,Dízel
5190000,2012,170,227300,VOLKSWAGEN PASSAT 2.0 CR TDI Highline BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat/volkswagen_passat_2.0_cr_tdi_highline_bmt_dsg-18670162#sid=03f3d781-016b-4313-8ed3-5936d5c9a029,Dízel
